parent_product_code,child_product_code,quantity,output_quantity,assemble_on_pick
FR120F.SG,FR120C.W,1,1,TRUE
FR120F.SG,FR00FS.SG,1,1,TRUE
FR120F.SG,FR120P.SG,1,1,TRUE
FR120W.SG,FR120C.W,1,1,TRUE
FR120W.SG,FR00WS.SG,1,1,TRUE
FR120W.SG,FR120P.SG,1,1,TRUE
NTSRKIT01,NTSR01,1,1,TRUE
NTSRKIT01,SH150SS,1,1,TRUE
NTSRKIT01,CO235,1,1,TRUE
96-HYCC01.L,96-HYCC01,1,1,TRUE
96-HYCC01.L,Left Hand Cut Out,1,1,TRUE
96-HYCC01.R,96-HYCC01,1,1,TRUE
96-HYCC01.R,Right Hand Cut Out,1,1,TRUE
SKCR01,CR033,1,1,TRUE
SKCR01,CR030,1,1,TRUE
SKCR01,SH150SS,1,1,TRUE
SKCR01,CR031,1,1,TRUE
SKCR03,CR030,1,1,TRUE
SKCR03,CR034,1,1,TRUE
SKCR03,SH150SS,1,1,TRUE
CRSP02L,CR224,1,1,TRUE
CRSP02L,CO229,1,1,TRUE
CRSP02L,KCR020L,1,1,TRUE
CRSP02L,VB020,1,1,TRUE
CRSP02L,SH150SS,1,1,TRUE
CRSP02L,CR031,1,1,TRUE
CRSP02L,CR030,1,1,TRUE
CRSP02L,CR033,1,1,TRUE
CO220.BB,KC020.BB,1,1,TRUE
CO220.BB,VB020,1,1,TRUE
CO220.BN,KC020.BN,1,1,TRUE
CO220.BN,VB020,1,1,TRUE
CO221.BB,KC021.BB,1,1,TRUE
CO221.BB,VB021,1,1,TRUE
CO221.BN,KC021.BN,1,1,TRUE
CO221.BN,VB021,1,1,TRUE
SKCO02.BB,CO231.BB,1,1,TRUE
SKCO02.BB,CO230.BB,1,1,TRUE
SKCO02.BB,CO233.BB,1,1,TRUE
SKCO02.BB,SH150SS.BB,1,1,TRUE
SKCO02.BN,CO231.BN,1,1,TRUE
SKCO02.BN,CO230.BN,1,1,TRUE
SKCO02.BN,CO233.BN,1,1,TRUE
SKCO02.BN,SH150SS.BN,1,1,TRUE
SKCO04.BB,CO230.BB,1,1,TRUE
SKCO04.BB,CO234.BB,1,1,TRUE
SKCO04.BB,SH150SS.BB,1,1,TRUE
SKCO04.BN,CO230.BN,1,1,TRUE
SKCO04.BN,CO234.BN,1,1,TRUE
SKCO04.BN,SH150SS.BN,1,1,TRUE
CR020L,KCR020L,1,1,TRUE
CR020L,VB020,1,1,TRUE
CR020X,KCR020X,1,1,TRUE
CR020X,VB020,1,1,TRUE
CR019X,KCR019X,1,1,TRUE
CR019X,VB019,1,1,TRUE
CR019L,KCR019L,1,1,TRUE
CR019L,VB019,1,1,TRUE
TCI01,Test SKU,1,1,TRUE
TCI01,Left Hand Cut Out,1,1,TRUE
COSP01.BB,SH150SS.BB,1,1,TRUE
COSP01.BB,CO234.BB,1,1,TRUE
COSP01.BB,CO230.BB,1,1,TRUE
COSP01.BB,CO229.BB,1,1,TRUE
COSP01.BB,CO223.BB,1,1,TRUE
COSP01.BB,VB020,1,1,TRUE
COSP01.BB,KC020.BB,1,1,TRUE
COSP01.BN,SH150SS.BN,1,1,TRUE
COSP01.BN,CO234.BN,1,1,TRUE
COSP01.BN,CO230.BN,1,1,TRUE
COSP01.BN,CO229.BN,1,1,TRUE
COSP01.BN,CO223.BN,1,1,TRUE
COSP01.BN,VB020,1,1,TRUE
COSP01.BN,KC020.BN,1,1,TRUE
COSP02.BB,SH150SS.BB,1,1,TRUE
COSP02.BB,CO233.BB,1,1,TRUE
COSP02.BB,CO231.BB,1,1,TRUE
COSP02.BB,CO230.BB,1,1,TRUE
COSP02.BB,CO229.BB,1,1,TRUE
COSP02.BB,CO223.BB,1,1,TRUE
COSP02.BB,VB020,1,1,TRUE
COSP02.BB,KC020.BB,1,1,TRUE
COSP02.BN,SH150SS.BN,1,1,TRUE
COSP02.BN,CO233.BN,1,1,TRUE
COSP02.BN,CO231.BN,1,1,TRUE
COSP02.BN,CO230.BN,1,1,TRUE
COSP02.BN,CO229.BN,1,1,TRUE
COSP02.BN,CO223.BN,1,1,TRUE
COSP02.BN,VB020,1,1,TRUE
COSP02.BN,KC020.BN,1,1,TRUE
COSP04.BB,SH150SS.BB,1,1,TRUE
COSP04.BB,CO234.BB,1,1,TRUE
COSP04.BB,CO230.BB,1,1,TRUE
COSP04.BB,VB021,1,1,TRUE
COSP04.BB,KC021.BB,1,1,TRUE
COSP04.BB,CO229.BB,1,1,TRUE
COSP04.BB,CO223.BB,1,1,TRUE
COSP04.BB,CO101.BB,1,1,TRUE
COSP04.BN,SH150SS.BN,1,1,TRUE
COSP04.BN,CO234.BN,1,1,TRUE
COSP04.BN,CO230.BN,1,1,TRUE
COSP04.BN,VB021,1,1,TRUE
COSP04.BN,KC021.BN,1,1,TRUE
COSP04.BN,CO229.BN,1,1,TRUE
COSP04.BN,CO223.BN,1,1,TRUE
COSP04.BN,CO101.BN,1,1,TRUE
TesC3,Tes2,1,1,TRUE
TesC3,Left Hand Cut Out,1,1,TRUE
CO2WK01.MB,CO2WV01.MB,1,1,TRUE
CO2WK01.MB,SH150SS.MB,1,1,TRUE
CO2WK01.MB,CO235.MB,1,1,TRUE
CO2WK01.MB,CO223.MB,1,1,TRUE
CO2WK01.MB,CORR01.MB,1,1,TRUE
SP.XE.009,SP.XE.006,1,1,TRUE
SP.XE.008,SP.XE.006,1,1,TRUE
SOCC01.L,SOCC01,1,1,TRUE
SOCC01.L,Left Hand Cut Out,1,1,TRUE
SOCC01.R,SOCC01,1,1,TRUE
SOCC01.R,Right Hand Cut Out,1,1,TRUE
TO2WK01.MB,TO223.MB,1,1,TRUE
TO2WK01.MB,SH150SS.MB,1,1,TRUE
TO2WK01.MB,TO235.MB,1,1,TRUE
INDCC01.L,INDCC01,1,1,TRUE
INDCC01.L,Left Hand Cut Out,1,1,TRUE
INDCC01.R,INDCC01,1,1,TRUE
INDCC01.R,Right Hand Cut Out,1,1,TRUE
